product_id,name,category,brand,price_inr,budget_tier,aesthetic,occasion,body_type_fit,color_palette,material,season,description,pairs_with
P001,Linen Wide-Leg Trouser,Bottoms,COS,4200,Mid,Corporate Minimalism,Office,Hourglass|Rectangle,Earthy Neutrals,Linen,SS|Year-round,Relaxed wide-leg trouser in breathable linen with a high waist and tailored pleat,P012|P018|P031
P002,Oversized Blazer,Outerwear,Arket,7800,Mid,Old Money,Office|Date Night,Rectangle|Inverted Triangle,Classic Neutrals,Wool Blend,AW|SS,Longline oversized blazer with notched lapels and a single button closure,P001|P011|P015|P030
P003,Cargo Jogger,Bottoms,Zara,2200,Budget,Streetwear,Casual,Rectangle|Athletic,Urban Brights,Cotton Jersey,Year-round,Relaxed cargo jogger with side pockets and elasticated waist,P006|P007|P038
P004,Broderie Anglaise Sundress,Dresses,Mango,3500,Budget,Cottagecore,Weekend Brunch|Casual,Hourglass|Pear,Soft Whites,Cotton,SS,Tiered broderie anglaise midi dress with adjustable straps and smocked bodice,P020|P033
P005,Ribbed Polo Shirt,Tops,Uniqlo,1800,Budget,Quiet Luxury,Casual|Office,All,Classic Neutrals,Cotton Rib,Year-round,Fine ribbed polo in Pima cotton with a subtle tipped collar — the understated staple,P001|P011|P013
P006,Track Jacket,Outerwear,New Balance,5500,Mid,Athleisure,Active|Casual,Athletic|Rectangle,Sport Monochromes,Recycled Polyester,Year-round,Zip-through track jacket with raglan sleeves and contrast taping,P039|P040
P007,Chunky Sole Sneaker,Footwear,New Balance,8500,Mid,Streetwear|Athleisure,Casual|Active,All,Sport Monochromes,Leather|Rubber,Year-round,Retro-inspired chunky sneaker with a sculpted foam sole and suede overlays,P003|P006|P038
P008,Pointed-Toe Kitten Mule,Footwear,Massimo Dutti,9200,Premium,Old Money|Quiet Luxury,Office|Date Night,All,Warm Nudes,Leather,SS|AW,Slip-on kitten mule with a square pointed toe and a slim 4 cm block heel,P001|P002|P012|P015
P009,Espadrille Wedge,Footwear,Mango,2800,Budget,Cottagecore|Coastal Grandma,Weekend Brunch|Casual,All,Warm Nudes|Earthy Neutrals,Jute|Canvas,SS,Plaited jute wedge espadrille with canvas upper and ankle tie,P004|P016|P017
P010,Leather Loafer,Footwear,COS,6200,Mid,Old Money|Corporate Minimalism,Office|Casual,All,Classic Neutrals,Leather,Year-round,Penny loafer in full-grain leather with a lightly padded footbed and rubber sole,P001|P002|P005|P011
P011,Straight-Leg Jean,Bottoms,Levi's,4500,Mid,Old Money|Streetwear,Casual|Office,Hourglass|Rectangle,Classic Neutrals,Denim,Year-round,High-rise straight-leg jean in rigid mid-blue denim with a clean hem,P002|P005|P010|P018
P012,Silk Slip Cami,Tops,COS,3800,Mid,Quiet Luxury,Date Night|Casual,Hourglass|Pear,Soft Whites|Classic Neutrals,Silk,SS|AW,Bias-cut slip cami in washed silk with adjustable spaghetti straps and a deep V,P001|P002|P015|P019
P013,Crew Neck Cashmere Knit,Tops,Arket,12500,Premium,Quiet Luxury|Old Money,Casual|Office,All,Classic Neutrals|Earthy Neutrals,Cashmere,AW,Fine-gauge crew neck in 100% Mongolian cashmere — no logos, no fuss,P001|P011|P010|P014
P014,Tailored Wool Trouser,Bottoms,Massimo Dutti,8900,Premium,Corporate Minimalism|Old Money,Office|Formal,Hourglass|Rectangle,Classic Neutrals,Wool,AW,Pleated wide-leg trouser in pressed wool with a concealed hook-and-eye waist,P013|P018|P019|P002
P015,Slip Dress (Midi),Dresses,Toteme,18500,Luxury,Quiet Luxury|Old Money,Date Night|Formal,Hourglass,Soft Whites|Classic Neutrals,Silk,SS,Fluid silk midi dress with a cowl neck and side slit — effortlessly elevated,P008|P019|P032
P016,Linen Shirt Dress,Dresses,Arket,5200,Mid,Coastal Grandma|Cottagecore,Weekend Brunch|Casual,Rectangle|Hourglass,Soft Whites|Earthy Neutrals,Linen,SS,Relaxed shirt dress in washed linen with rolled sleeves and a belted waist,P009|P020|P033
P017,Broderie Blouse,Tops,Mango,2600,Budget,Cottagecore,Weekend Brunch|Casual,Hourglass|Pear,Soft Whites,Cotton,SS,Puff-sleeve blouse in cotton broderie with a smocked back panel,P004|P009|P016|P025
P018,Silk Blouse,Tops,Massimo Dutti,7200,Premium,Corporate Minimalism|Quiet Luxury,Office|Date Night,All,Classic Neutrals|Soft Whites,Silk,Year-round,Relaxed silk blouse with a pussy-bow collar — polished without being fussy,P001|P014|P010|P008
P019,Tailored Blazer (Fitted),Outerwear,Toteme,22000,Luxury,Old Money|Quiet Luxury,Office|Formal,Hourglass|Inverted Triangle,Classic Neutrals,Wool Crepe,AW,Double-breasted fitted blazer in pressed wool crepe — structured and minimal,P014|P015|P012|P008
P020,Straw Tote,Bags,Mango,2200,Budget,Cottagecore|Coastal Grandma,Weekend Brunch|Casual,All,Earthy Neutrals,Straw|Raffia,SS,Woven straw tote with leather handles and a cotton lining — effortless summer carry,P004|P016|P017|P009
P021,Structured Leather Tote,Bags,Massimo Dutti,14500,Premium,Corporate Minimalism|Old Money,Office|Casual,All,Classic Neutrals,Full-grain Leather,Year-round,Clean A4-compatible leather tote with zip closure and a detachable strap,P001|P002|P018|P014
P022,Mini Crossbody,Bags,Zara,1900,Budget,Streetwear|Y2K,Casual|Date Night,All,Urban Brights,Faux Leather,Year-round,Small boxy crossbody with chain strap and logo-free hardware,P003|P023|P026
P023,Cropped Hoodie,Tops,Zara,2400,Budget,Streetwear,Casual,Athletic|Rectangle,Urban Brights|Monochromes,Cotton Fleece,AW|Year-round,Cropped relaxed-fit hoodie with kangaroo pocket and drop shoulder,P003|P007|P038
P024,Performance Legging,Bottoms,New Balance,4200,Mid,Athleisure,Active,Athletic,Sport Monochromes,Recycled Nylon,Year-round,High-waist compression legging with mesh ventilation panels and hidden waistband pocket,P006|P039|P040
P025,Linen Shorts,Bottoms,COS,2900,Mid,Coastal Grandma|Casual Minimalism,Casual|Weekend Brunch,All,Earthy Neutrals,Linen,SS,High-rise linen shorts with wide legs and side-seam pockets,P017|P005|P033|P034
P026,Y2K Cargo Mini Skirt,Bottoms,Zara,2100,Budget,Y2K|Streetwear,Casual,Athletic|Pear,Urban Brights,Denim,SS|Year-round,Low-rise mini skirt with cargo pockets and contrast stitching,P023|P022|P038
P027,Pleated Midi Skirt,Bottoms,COS,4800,Mid,Quiet Luxury|Old Money,Office|Date Night,All,Classic Neutrals|Soft Whites,Silk Blend,SS|AW,Knife-pleated midi skirt in fluid silk blend — movement with restraint,P005|P012|P013|P018
P028,Leather Mini Skirt,Bottoms,Arket,6500,Mid,Old Money|Streetwear,Date Night|Casual,Hourglass|Athletic,Classic Neutrals,Leather,AW,A-line leather mini with zip closure — edge without maximalism,P013|P018|P032|P034
P029,Trench Coat,Outerwear,Massimo Dutti,18000,Premium,Old Money|Corporate Minimalism,Office|Formal|Casual,All,Classic Neutrals,Cotton Gabardine,AW|SS,Double-breasted trench with a belted waist and storm flap — the perpetual classic,P001|P002|P011|P014
P030,Merino V-Neck,Tops,Uniqlo,2900,Budget,Quiet Luxury|Coastal Grandma,Casual|Office,All,Classic Neutrals|Earthy Neutrals,Merino Wool,AW,Fine merino V-neck in a relaxed fit — zero branding, maximum versatility,P001|P011|P014|P025
P031,Tailored Short,Bottoms,COS,3200,Mid,Corporate Minimalism|Coastal Grandma,Casual|Office,All,Earthy Neutrals|Classic Neutrals,Cotton Twill,SS,Pressed tailored short with a flat front and invisible zip — sharp at any hem,P005|P030|P010|P034
P032,Strappy Heel Sandal,Footwear,Massimo Dutti,10500,Premium,Old Money|Quiet Luxury,Date Night|Formal,All,Warm Nudes,Leather,SS,Barely-there strappy sandal on a slim 7 cm heel with adjustable ankle buckle,P015|P027|P028|P012
P033,Ballet Flat,Footwear,Arket,5800,Mid,Quiet Luxury|Cottagecore,Casual|Office,All,Classic Neutrals|Warm Nudes,Leather,Year-round,Padded round-toe ballet flat in soft nappa leather — deceptively comfortable,P004|P016|P025|P027
P034,White Linen Button-Down,Tops,Uniqlo,2200,Budget,Coastal Grandma|Quiet Luxury,Casual|Office|Weekend Brunch,All,Soft Whites,Linen,SS|Year-round,Relaxed linen Oxford shirt in off-white — wears well tucked or untucked,P011|P025|P031|P028
P035,Longline Cardigan,Tops,H&M,1800,Budget,Coastal Grandma|Cottagecore,Casual|Weekend Brunch,All,Earthy Neutrals,Acrylic Blend,AW,Drapey longline cardigan with oversized pockets — cosy-chic without the price tag,P016|P004|P033|P030
P036,Sports Bra,Tops,New Balance,2800,Mid,Athleisure,Active,Athletic|Hourglass,Sport Monochromes,Recycled Polyester,Year-round,Medium-support sports bra with a racerback and moisture-wicking fabric,P024|P039|P040|P006
P037,Knit Co-ord Set,Dresses,H&M,3200,Budget,Y2K|Casual,Casual|Date Night,Hourglass|Athletic,Urban Brights,Viscose Knit,SS|AW,Matching knit crop top and midi skirt — coordinated without the effort,P007|P022|P038
P038,Graphic Tee (Minimal),Tops,Uniqlo,1500,Budget,Streetwear|Casual,Casual,All,Urban Brights|Monochromes,Cotton,Year-round,Clean-print graphic tee from the UT archive series — art-adjacent, logo-free,P003|P007|P023|P026
P039,Running Short,Bottoms,New Balance,3200,Mid,Athleisure,Active,Athletic,Sport Monochromes,Recycled Polyester,SS|Year-round,Lightweight 5-inch running short with built-in liner and reflective detail,P006|P036|P040
P040,Running Shoe,Footwear,New Balance,9500,Mid,Athleisure,Active,All,Sport Monochromes,Mesh|Foam,Year-round,Daily trainer with a Fresh Foam midsole and engineered mesh upper — runs and errands,P006|P024|P036|P039
P041,Pearl Drop Earring,Accessories,Arket,2200,Mid,Quiet Luxury|Old Money,Date Night|Office|Formal,All,Soft Whites,Freshwater Pearl|Gold,Year-round,Asymmetric freshwater pearl drop on a thin gold wire — minimal and grown-up,P015|P012|P027|P019
P042,Silk Scarf,Accessories,Massimo Dutti,4500,Premium,Old Money|Coastal Grandma,Casual|Office,All,Warm Nudes|Classic Neutrals,Silk,Year-round,90x90 printed silk twill scarf — wear as a neck tie, bag accent, or hair wrap,P002|P021|P029|P011
P043,Canvas Tote,Bags,Arket,1800,Budget,Casual Minimalism|Cottagecore,Casual|Weekend Brunch,All,Soft Whites|Earthy Neutrals,Organic Canvas,Year-round,Unbleached organic cotton canvas tote with an internal zip pocket — everyday carry,P034|P016|P005|P030
P044,Wide-Brim Sun Hat,Accessories,Mango,1600,Budget,Coastal Grandma|Cottagecore,Casual|Weekend Brunch,All,Earthy Neutrals,Raffia|Straw,SS,Floppy wide-brim hat in woven raffia — sun protection with a resort feel,P004|P016|P009|P017
P045,Leather Belt,Accessories,COS,3200,Mid,Corporate Minimalism|Old Money,Office|Casual,All,Classic Neutrals,Leather,Year-round,Slim rectangular-buckle belt in smooth leather — tucks any outfit into place,P001|P002|P014|P029
